name,parent,value
ONUSS-BS,c2af,2204
IT-BS,c2af,39
LT4,c2af,42
ARTSCTN,c2af,129
E1,e979,3585
E6,ea4a,86
OYIH-BS,ea4a,3295
RC4,5987,548
KRT-BS,962e,2412
KVA,d3e7,1995
S16,caea,3552
UHALL-BS,1362,0
UHC-BS,1362,55
YIH-BS,1362,72
RH-BS,1362,206
MUSM-BS,1362,107
T-LAB,1362,3028
MD6,9ac1,3440
CREATE,345d,381
TBS,bd35,3575
E1A,81d6,3552
YNCRC1,92f9,3416
YIH,7c2b,3448
S16,cbfa,2613
S15,cbfa,159
S16CTN,cbfa,246
LT27,cbfa,464
ERC,50a8,3110
UTSRC,a0e5,3540
UHC-BS,fd44,2829
YNCRC3,41f0,3571
IT-BS,d664,3500
E5,d664,85
ERC,558a,3112
YSTCM,5dc1,3435
AS2,4a0a,384
VEN-BS,4a0a,2854
YNCRC3,108d,3065
ERC,57d9,2265
BIZ1,ef0c,3579
RC4,4409,3361
YNCRC1,4409,66
YNCEC,4409,85
UTSRC,a834,2340
GRS,a834,688
S16,4deb,1671
S16CTN,4deb,1904
MD6,048d,541
S16CTN,048d,2636
MD7,048d,394
UTSRC,c2db,1720
ERC,c2db,60
YNCRC1,cb91,603
AS5,aa0b,1981
ERC,91ef,3301
E3,8aaa,3416
MD2,1d05,3583
LT1,96db,574
EA,96db,2712
YNCRC1,1cc6,3178
UH,8bfc,3252
E3,5f5a,290
E1A,5f5a,2012
E2,5f5a,1158
E2A,5f5a,71
E1,5f5a,62
UH,50d9,3472
S16,175c,3363
S16CTN,175c,51
MD9,175c,74
ONUSS-BS,195d,2314
S12,9f4d,1924
S7,5c54,3508
CRECTN,c567,251
CREATE,c567,52
UTSRC,c567,247
GRS,c567,2819
RC4,a4da,533
YNCRC2,9028,3334
ERC,1ede,1193
GRS,1ede,2402
YNCRC1,427b,322
ERC,427b,3232
BIZ2-BS,2188,2983
THALL,5420,1437
IT,3181,3252
YNCRC2,9a64,2967
CRECTN,ae85,14
IT-BS,ae85,899
CREATE,ae85,908
MD6,569b,704
SDE3,f01e,3575
YNCRC2,9e39,3053
CELS,217f,3433
CNM,86f4,454
S15,626f,3540
E6,9085,215
USC,c8cb,2819
MPH,c8cb,315
MD3,c8cb,42
RVRTB,0d4d,488
KV-BS,0fb7,3088
EA,0fb7,400
MD6,5905,3575
MD6,c15d,3554
ERC,72bb,2841
YNCRC1,5b40,2804
UCC,f6ab,3147
UH,e13b,24
MD1,8883,3518
YSTCM,d6be,3504
S16,9c5b,3534
UHC-BS,f449,3563
OYIH-BS,3a52,135
USC,4fdb,1575
OUHC-BS,4fdb,169
FC,4fdb,1087
CELS,2928,3595
KRH,cba8,2750
IT,cba8,342
BIZ2-BS,cba8,24
OHSSL-BS,cba8,172
YNCRC1,e418,3342
HSSML,9422,2202
YSTCM,4377,3534
E2,beb6,222
RC4,d325,877
VENT,780e,53
YNCRC3,2b7a,2349
YNCRC2,e125,1956
E3,b45c,3542
UHALL-BS,0014,1222
S13,0014,93
EA,0014,2198
S12,0014,84
YNCRC3,d8cd,1250
USC,0533,95
UHC-BS,0533,856
HSSML,997d,594
KV-BS,997d,2342
BIZ1,997d,647
PGP10,45f6,1849
YIH,534e,3024
I4,8560,2394
E3A,aedf,3579
S10,cedd,3520
CLIB,64ee,337
CNLIB,64ee,1492
E2A,d8fb,3429
CNM,99b9,2622
CRECTN,f5e0,714
UTSRC,f5e0,1279
EA,15e6,3492
MD6,d775,3544
UT-BS,9f65,429
UHALL-BS,9f65,320
UHC-BS,9f65,192
ERC,9f65,72
UTSRC,9f65,298
LT32,9f65,2110
OUHC-BS,9f65,119
UT-BS,8726,113
UHC-BS,8726,121
GRS,8726,60
CREATE,8726,57
GRN,8726,2160
S17-BS,8726,102
UT-BS,a034,1297
YNCRC1,2a49,3350
BREN,7043,391
EA,e05f,3425
RVRG,910d,2983
UT-BS,4c0b,54
E5,4c0b,437
CREATE,4c0b,1486
E1,4c0b,1098
E4,4c0b,60
T-LAB,d247,3522
MD1,0da9,425
RH-BS,d3d3,3301
E3A,d3d3,64
THALL,b8ed,1211
MD1,df2c,3352
LT18,f57f,65
PGP-BS,f57f,2871
OHSSL-BS,f57f,189
S16,0ca8,1917
S16CTN,0ca8,483
LT27,0ca8,1189
UTSRC,a89a,3193
ERC,4845,2708
MD1,4de8,2798
IT-BS,8734,1679
AS6,8734,249
CLIB,8734,228
BIZ1,8734,1437
YNCRC2,7f4a,3577
EW2,e91c,3348
PGP-BS,18fa,2600
S15,2903,3538
MD11,15f1,3016
YNCRC2,fec7,973
YNCRC1,48a1,3094
TBS,1a11,814
RC4,1a11,272
GRN,1a11,53
GRS,1a11,657
UH,751e,3067
E1,e8c9,947
E5,e8c9,2220
E4,e8c9,141
E2A,e8c9,154
E3,f2e6,3571
MD1,36ee,3556
HSSML,2384,351
BIZ2,2384,14
YNCRC1,af2b,3565
S16,d431,3575
YNCRC1,0aca,3216
I3,076c,166
CRECTN,dd2c,744
CREATE,dd2c,2700
RC4,1bb9,1995
MPH,bcbb,1131
AS1,bcbb,72
